CustomerNumber	FName	Lname	Gender	Add1	Add2	City	State	Zip	Plus4	Birthday
5958381349	Barney	Smith	M	123 MainStreet		Quincy	IL	60783	4325	6/1/1956
8426258249	Jane	Jackson	F	604 Artentam Rd.	Apt. 3A	Long Beach	CA	90237	5533	6/3/1960
4080071037	Howie	Calmes	M	738 Wentworth		Pheonix	AZ	73820	6654	11/12/1970
931498000	Selden	Swing	M	84 7th Ave		New York	NY	10010	7449	12/12/1966
3319487852	Janice	Williamson	F	883 W. North Ave.	Unit 3	Philadelphia	PA	12839	5344	8/11/1969
1381135091	Suzanne	Abad	F	8111 Township Line Rd		New York	 NY	10260	4432	1/10/1955
861018212	James	Abbert	M	8320 Madison Ave		New York	 NY	10227	4412	6/3/1976
1372876408	Lois	Abels	F	1801 N Senate Blvd	Apt. 300	New York	 NY	10202	2230	2/5/1971
2069132544	Hank	Gennson	M	2010 W 86th St	Apt. 200	New York	 NY	10260	4433	7/3/1978
6482215972	Kayla	Dillon	F	8240 Naab Rd	Apt. 115	New York	 NY	10260	4433	2/8/1962
928546421	Miriam	Maynard	F	8333 Naab Rd	Apt. 200	New York	 NY	10260	4423	5/7/1935
9399652248	Steve	Allen	M	9240 N Meridian St	Apt. 250	New York	 NY	10260	4455	1/3/1948
83664377	Elizabeth	Abels	F	9240 N Meridian St	Apt. 370	New York	 NY	10260	4325	7/7/1963
4715857997	Richard	Abernathy	M	550 N University Blvd		New York	 NY	10202	5533	9/2/1972
838064933	Angel	Ablog	M	8130 S Meridian St	Apt. 4B	New York	 NY	10217	6654	8/16/1964
6807700743	Richard	Abnour	M	550 N University Blvd		New York	 NY	10202	7449	12/6/1952
9714613609	Dennis	Abnour	M	975 W Walnut St		New York	 NY	10202	5344	12/3/1965
4546105680	John	MacAbrams	M	1801 N Senate Blvd	Apt. 620	New York	 NY	10202	4432	11/2/1950
1467898849	Jerry	Abrams	M	6920 Parkdale Pl	Apt. 206	New York	 NY	10254	4412	10/2/1955
2145886976	Mary	Abrams	F	8220 Naab Rd		New York	 NY	10260	2230	1/3/1956
1586646918	Vance	Abshire	M	2001 W 86th St		New York	 NY	10260	4433	8/4/1973
6627534072	Bruce	Ackerman	M	1400 N Ritter Ave	Apt. 375	New York	 NY	10219	4433	11/9/1941
6395029571	Veda	Ackerman	M	702 Barnhill Dr RM 1721		New York	 NY	10202	4423	6/6/1958
6314734859	Kenneth	Ackles	M	3231 N Meridian St	Apt. 502	New York	 NY	10208	4455	5/5/1975
946813764	Scott	Ackley	M	1701 N Senate Ave		New York	 NY	10202	4325	6/12/1938
2576165278	Allen	Atkins	M	1815 N Capitol Ave	Apt. 205	New York	 NY	10202	5533	7/12/1973
7024773043	Neal	Acer	M	535 Barnhill Dr		New York	 NY	10202	6654	7/2/1961
8797631327	Scott	Ackto	M	6925 Shore Terrace		New York	 NY	10254	7449	2/12/1949
5255990981	Scott	Arrko	M	9002 N Meridian St	Apt. 110	New York	 NY	10240	5344	12/6/1954
9837469753	Jack	Delair	M	5110 Commerce SQ Dr	Apt. F	New York	 NY	10237	4432	11/1/1982
2244137940	Joe	Adair	M	8424 Naab Rd	Apt. 2C	New York	 NY	10260	4412	7/1/1946
4384599853	William	Makilr	M	2001 W Washington St		New York	 NY	10222	2230	10/3/1948
9047516907	Walter	Adair	M	3500 N Lafayette Rd	Apt. B202	New York	 NY	10222	4433	11/3/1981
513067722	William	Addo	M	5750 W 56th St		New York	 NY	10254	4433	2/9/1976
7959779666	William	Ackod	M	6245 N College Ave		New York	 NY	10220	4423	12/1/1969
2338117767	Jerry	Madsams	M	4807 E 38th St		New York	 NY	10218	4455	4/6/1950
2402141096	Laurence	Adams	M	6920 Parkdale Place	Apt. 107	New York	 NY	10254	4325	10/10/1978
789638643	Robert	Manly	M	8402 Harcourt Rd	Apt. 731	New York	 NY	10260	5533	8/7/1978
7273004414	Robert	Addleman	M	8402 Harcourt Rd	Apt. 731	New York	 NY	10260	6654	5/2/1938
6225325271	Robert	Addor	M	8501 Harcourt Rd		New York	 NY	10260	7449	6/5/1977
